Player,Salary,Salary Status Code,Salary Status Message,Year,Level,Is Top Player
"De La Rosa, Rubby",2350000,GOOD,Salary was parsed,2016,MLB,False
"De Los Santos, Abel",no salary data,NO_SALARY_DATA,'no salary data' was present for the value,2016,MLB,False
"Dean, Pat",507500,GOOD,Salary was parsed,2016,MLB,False
"deGrom, Jacob",607000,GOOD,Salary was parsed,2016,MLB,False
"DeJesus Jr., Ivan",507500,GOOD,Salary was parsed,2016,MLB,False
"Delabar, Steve",835000,GOOD,Salary was parsed,2016,MLB,False
"Delgado, Randall",1275000,GOOD,Salary was parsed,2016,MLB,False
"den Dekker, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
"Descalso, Daniel",2100000,GOOD,Salary was parsed,2016,MLB,False
"DeSclafani, Anthony",507500,GOOD,Salary was parsed,2016,MLB,False
"DeShields Jr., Delino",517130,GOOD,Salary was parsed,2016,MLB,False
"Desmond, Ian",8000000,GOOD,Salary was parsed,2016,MLB,False
"Despaigne, Odrisamer",507500,GOOD,Salary was parsed,2016,MLB,False
"Diaz, Aledmys",2500000,GOOD,Salary was parsed,2016,MLB,False
"Diaz, Elias",507500,GOOD,Salary was parsed,2016,MLB,False
"Diaz, Jairo",507500,GOOD,Salary was parsed,2016,MLB,False
"Diaz, Jumbo",507500,GOOD,Salary was parsed,2016,MLB,False
"Dickerson, Alex",507500,GOOD,Salary was parsed,2016,MLB,False
"Dickerson, Corey",507500,GOOD,Salary was parsed,2016,MLB,False
"Dickey, R.A.",12000000,GOOD,Salary was parsed,2016,MLB,True
"Diekman, Jake",1255000,GOOD,Salary was parsed,2016,MLB,False
"Dietrich, Derek",507500,GOOD,Salary was parsed,2016,MLB,False
"Difo, Wilmer",507500,GOOD,Salary was parsed,2016,MLB,False
"Dominguez, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
"Donaldson, Josh",11650000,GOOD,Salary was parsed,2016,MLB,True
"Doolittle, Sean",1580000,GOOD,Salary was parsed,2016,MLB,False
"Doubront, Felix",2000000,GOOD,Salary was parsed,2016,MLB,False
"Dozier, Brian",3000000,GOOD,Salary was parsed,2016,MLB,False
"Dragmire, Brady",507500,GOOD,Salary was parsed,2016,MLB,False
"Drake, Oliver",507500,GOOD,Salary was parsed,2016,MLB,False
"Drew, Stephen",3000000,GOOD,Salary was parsed,2016,MLB,False
"Drury, Brandon",507500,GOOD,Salary was parsed,2016,MLB,False
"Duda, Lucas",6725000,GOOD,Salary was parsed,2016,MLB,False
"Duffey, Tyler",507500,GOOD,Salary was parsed,2016,MLB,False
"Duffy, Danny",4225000,GOOD,Salary was parsed,2016,MLB,False
"Duffy, Matt",507500,GOOD,Salary was parsed,2016,MLB,False
